n,ISO
R10REST_ASIA,BRN
R10REST_ASIA,CCK
R10REST_ASIA,KHM
R10REST_ASIA,LAO
R10REST_ASIA,MMR
R10REST_ASIA,MYS
R10REST_ASIA,PHL
R10REST_ASIA,SGP
R10REST_ASIA,THA
R10REST_ASIA,VNM
R10AFRICA,AGO
R10AFRICA,ATF
R10AFRICA,BDI
R10AFRICA,BEN
R10AFRICA,BFA
R10AFRICA,BVT
R10AFRICA,BWA
R10AFRICA,CAF
R10AFRICA,CIV
R10AFRICA,CMR
R10AFRICA,COD
R10AFRICA,COG
R10AFRICA,COM
R10AFRICA,CPV
R10AFRICA,DJI
R10AFRICA,ERI
R10AFRICA,ETH
R10AFRICA,GAB
R10AFRICA,GHA
R10AFRICA,GIN
R10AFRICA,GMB
R10AFRICA,GNB
R10AFRICA,GNQ
R10AFRICA,IOT
R10AFRICA,KEN
R10AFRICA,LBR
R10AFRICA,LSO
R10AFRICA,MDG
R10AFRICA,MLI
R10AFRICA,MOZ
R10AFRICA,MRT
R10AFRICA,MUS
R10AFRICA,MWI
R10AFRICA,MYT
R10AFRICA,NAM
R10AFRICA,NER
R10AFRICA,NGA
R10AFRICA,REU
R10AFRICA,RWA
R10AFRICA,SDN
R10AFRICA,SEN
R10AFRICA,SHN
R10AFRICA,SLE
R10AFRICA,SOM
R10AFRICA,SSD
R10AFRICA,STP
R10AFRICA,SWZ
R10AFRICA,SYC
R10AFRICA,TCD
R10AFRICA,TGO
R10AFRICA,TZA
R10AFRICA,UGA
R10AFRICA,ZMB
R10AFRICA,ZWE
R10REF_ECON,ARM
R10REF_ECON,AZE
R10REF_ECON,BLR
R10REF_ECON,GEO
R10REF_ECON,KAZ
R10REF_ECON,KGZ
R10REF_ECON,MDA
R10REF_ECON,MNG
R10REF_ECON,RUS
R10REF_ECON,TJK
R10REF_ECON,TKM
R10REF_ECON,TUR
R10REF_ECON,UKR
R10REF_ECON,UZB
R10NORTH_AM,USA
